,栏目,标题,作者,链接
2022-05-29,骨折,83岁老年女性，股骨粗隆间骨折，重度骨质疏松；缠足；骨水泥型...,李宏键,https://www.haodf.com/neirong/wenzhang/9388816569.html
2022-05-29,胃癌,体检化验单的肿瘤指标怎么看,隋承军,https://www.haodf.com/neirong/wenzhang/9388816524.html
2022-05-29,肺癌,刘懿博士说肺癌（三九三九）29岁小伙肺混合磨玻璃结节可以再观...,刘懿,https://www.haodf.com/neirong/wenzhang/9388816486.html
2022-05-29,乳腺癌,「健康科普」保持健康，预防乳腺癌,吴高松,https://www.haodf.com/neirong/wenzhang/9388816464.html
2022-05-29,肺癌,同步放化疗给局部晚期非小细胞肺癌带来更多治愈的希望,徐清华,https://www.haodf.com/neirong/wenzhang/9388816446.html
2022-05-29,肺癌,刘懿博士说肺癌（三九三七）肺磨玻璃结节手术的三个问题，您有...,刘懿,https://www.haodf.com/neirong/wenzhang/9388816445.html
2022-05-29,肺癌,刘懿博士说肺癌（三九三六）晚期肺癌有基因突变，参加临床试验...,刘懿,https://www.haodf.com/neirong/wenzhang/9388816413.html
2022-05-29,肺癌,MET14号外显子跳跃突变如何导致肺癌,张临友,https://www.haodf.com/neirong/wenzhang/9388816160.html
2022-05-29,肺癌,“肺癌之王”肺肉瘤样癌治疗进展,张临友,https://www.haodf.com/neirong/wenzhang/9388816158.html
2022-05-29,肝癌,斩断引起肝癌的第二大黑手,楚瑞阁,https://www.haodf.com/neirong/wenzhang/9388816070.html
2022-05-28,肝癌,甲胎蛋白升高就一定是肝癌吗？,任家俊,https://www.haodf.com/neirong/wenzhang/9388815975.html
2022-05-28,肝癌,预防肝癌术后复发，试试这几个策略,黄兆明,https://www.haodf.com/neirong/wenzhang/9388815654.html
2022-05-28,肺癌,刘懿博士说肺癌（三九三五）眼皮耷拉考虑重症肌无力，还发现了...,刘懿,https://www.haodf.com/neirong/wenzhang/9388815540.html
2022-05-28,肺癌,磨玻璃为表现早期肺癌的展望,叶建明,https://www.haodf.com/neirong/wenzhang/9388815480.html
2022-05-28,肺癌,刘懿博士说肺癌（三九三三）肺结节即使是恶性肿瘤，家属先别崩...,刘懿,https://www.haodf.com/neirong/wenzhang/9388815096.html
2022-05-28,肺癌,刘懿博士说肺癌（三九三二）12毫米肺结节找我看，毫不犹豫建议...,刘懿,https://www.haodf.com/neirong/wenzhang/9388815084.html
2022-05-27,胃炎,魏睦新团队研究三七治疗Hp相关胃炎的新进展,魏睦新,https://www.haodf.com/neirong/wenzhang/9388814662.html
2022-05-27,腰椎间盘突出,这种手术千万不要做，复发率可以到100%,李维新,https://m.haodf.com/neirong/shipin/9388814661.html
2022-05-27,冠心病,鸡蛋怎么吃才对？终于有答案了。,李永光,https://www.haodf.com/neirong/wenzhang/9388813837.html
2022-05-27,肺癌,刘懿博士说肺癌（三九二八）一厘米肺磨玻璃结节做PET-CT价值大...,刘懿,https://www.haodf.com/neirong/wenzhang/9388813813.html
2022-05-27,高血压,癌症患者罹患多种慢性疾病，同时吃多种药，需要注意什么吗？,何义富,https://www.haodf.com/neirong/wenzhang/9388813770.html
2022-05-27,腰椎间盘突出,腰椎间盘老化的自然过程！,廖博,https://www.haodf.com/neirong/wenzhang/9388813727.html
2022-05-26,肺癌,同时性多原发肺癌的诊治体会及处理策略,刘政呈,https://www.haodf.com/neirong/wenzhang/9388813425.html
2022-05-26,肺癌,肺癌转移到肝上还能活多久，有些新的疗法可以使用，有的活很久...,胡洋,https://www.haodf.com/neirong/wenzhang/9388813086.html
2022-05-26,肺癌,5条对肺癌的认知误区，有些人被活活吓死，其实并没有那么恐怖,胡洋,https://www.haodf.com/neirong/wenzhang/9388813084.html
2022-05-26,乳腺癌,晚期乳腺癌有哪些治疗方案？,陈伟财,https://www.haodf.com/neirong/wenzhang/9388813082.html
2022-05-26,乳腺癌,乳腺癌术后的治疗方法有哪些？,陈伟财,https://www.haodf.com/neirong/wenzhang/9388813079.html
2022-05-26,肺癌,安徽首位患者使用120万一针的抗癌药获得成功，能治疗肺癌吗？,胡洋,https://www.haodf.com/neirong/wenzhang/9388813077.html
2022-05-26,肺癌,气管镜是否就一定能确诊？为什么要做气管镜？气管镜检查应注意...,王晟广,https://www.haodf.com/neirong/wenzhang/9388812979.html
2022-05-26,肺癌,刘懿博士说肺癌（三九二四）看着像胸腔积液，实际上整个肺都是...,刘懿,https://www.haodf.com/neirong/wenzhang/9388812928.html
2022-05-26,腰椎间盘突出,央视腰椎系列1：伤不起的腰椎间盘，腰痛就是代价,刘强,https://m.haodf.com/neirong/shipin/9388812835.html
2022-05-26,肺癌,老年男性长期吸烟伴肺气肿，一年半不到发展为晚期肺癌,朱巍,https://www.haodf.com/neirong/wenzhang/9388812788.html
2022-05-26,冠心病,冠心病患者防治攻略，助你安全过夏季！,田颖,https://www.haodf.com/neirong/wenzhang/9388812687.html
2022-05-26,肝癌,原发性肝癌转化治疗新进展,李慧锴,https://www.haodf.com/neirong/wenzhang/9388812499.html
2022-05-26,肺癌,刘懿博士说肺癌（三九二三）肺磨玻璃结节切下来是AAH，是肺癌么...,刘懿,https://www.haodf.com/neirong/wenzhang/9388812441.html
2022-05-26,乳腺癌,有乳腺癌家族史，得乳腺癌的几率有多高,赵华栋,https://www.haodf.com/neirong/wenzhang/9388812422.html
2022-05-26,乳腺癌,乳腺癌高危人群应该怎么办,赵华栋,https://www.haodf.com/neirong/wenzhang/9388812403.html
2022-05-26,肺癌,刘懿博士说肺癌（三九二二）肺结节患者要定心丸吃，不知怎么给...,刘懿,https://www.haodf.com/neirong/wenzhang/9388812369.html
2022-05-26,肺癌,刘懿博士说肺癌（三九二一）肺结节这两种建议，哪种更应该恐慌...,刘懿,https://www.haodf.com/neirong/wenzhang/9388812293.html
2022-05-26,肺癌,叔伯姥爷误诊的“肺良性疾病”被我诊断为肺癌,楚瑞阁,https://www.haodf.com/neirong/wenzhang/9388812259.html
2022-05-25,骨折,骨折术后伤口愈合需要哪些营养素？,李政,https://www.haodf.com/neirong/wenzhang/9388812116.html
2022-05-25,肺癌,刘懿博士说肺癌（三九一八）发现一周的肺磨玻璃结节直接切，是...,刘懿,https://www.haodf.com/neirong/wenzhang/9388810984.html
2022-05-25,肺癌,刘懿博士说肺癌（三九一七）肺癌气管镜取到病理了么？看镜下报...,刘懿,https://www.haodf.com/neirong/wenzhang/9388810925.html
2022-05-25,乙肝,《扩大慢性乙型肝炎抗病毒治疗的专家意见》解读,尹有宽,https://www.haodf.com/neirong/wenzhang/9388810919.html
2022-05-25,肺癌,刘懿博士说肺癌（三九一六）肺结节术前检查发现肝结节，是转移...,刘懿,https://www.haodf.com/neirong/wenzhang/9388810879.html
2022-05-25,肺癌,临床IA期肺癌肺叶切除后的10年生存率,张临友,https://www.haodf.com/neirong/wenzhang/9388810580.html
2022-05-24,放射诊断,肺结节复查患者应选择何种胸部CT进行复查？（附：低剂量CT、平...,周晓,https://www.haodf.com/neirong/wenzhang/9388810557.html
2022-05-24,肺癌,早期肺癌到底要不要进行手术辅助治疗？这种检测方法可以帮助判...,胡洋,https://www.haodf.com/neirong/wenzhang/9388810312.html
2022-05-24,肺癌,刘懿博士说肺癌（三九一四）55岁男士长期吸烟，咯血丝痰发现肺...,刘懿,https://www.haodf.com/neirong/wenzhang/9388810301.html
2022-05-24,肺癌,晚期肺癌奥西替尼耐药后怎么办？做个基因检测，有时可吃回一代...,胡洋,https://www.haodf.com/neirong/wenzhang/9388810264.html
2022-05-24,胃癌,上海渐渐复苏，胃癌患者就诊注意事项（复旦肿瘤胃外科）,徐大志,https://www.haodf.com/neirong/wenzhang/9388810134.html
2022-05-24,乳腺癌,乳腺癌内分泌治疗时出现不良反应如何应对,赵华栋,https://www.haodf.com/neirong/wenzhang/9388810074.html
2022-05-24,乳腺癌,钼靶检查乳腺钙化还能反映心血管疾病的风险,孙建,https://www.haodf.com/neirong/wenzhang/9388809839.html
2022-05-24,脑梗塞,阿司匹林、他汀需要长期服用吗？会不会伤肝伤肾？,吴川杰,https://www.haodf.com/neirong/wenzhang/9388799622.html
2022-05-24,高血压,50%心梗、心衰与高血压有关，62岁男子拒吃药后悔莫及,贺丽霞,https://www.haodf.com/neirong/wenzhang/9388799395.html
2022-05-23,肝癌,主任，既然阿可拉定有用，那是否可以直接用淫羊藿中药辅助肝癌...,黎功,https://m.haodf.com/neirong/shipin/9388799182.html
2022-05-23,高血压,在家测血压怎么最准确最方便？,任卫东,https://www.haodf.com/neirong/wenzhang/9388799135.html
2022-05-23,肺癌,如何判断肺结节是不是肺癌？,林勇,https://www.haodf.com/neirong/wenzhang/9388798947.html
2022-05-23,乳腺癌,乳腺癌早期需要切除整个乳房吗？,赵华栋,https://www.haodf.com/neirong/wenzhang/9388798853.html
2022-05-23,肝癌,注意！这四类人是肝癌的“高危人群”，记住这几点,车旭,https://www.haodf.com/neirong/wenzhang/9388798816.html
2022-05-23,肺癌,经常听到家属悲观地说肺癌晚期没救了，真的是这样嘛?,陆英杰,https://www.haodf.com/neirong/wenzhang/9388798596.html
2022-05-23,冠心病,胸闷，甚至后背痛。跑了平板，做了冠脉造影，说没问题。有没有...,李明洲,https://m.haodf.com/neirong/shipin/9388798267.html
2022-05-23,乳腺癌,乳腺癌保留乳房手术安全吗,白晓蓉,https://www.haodf.com/neirong/wenzhang/9388798238.html
2022-05-22,肺癌,发现肺结节随诊是关键——从肿瘤体积倍增时间来看肺结节的管理...,王培,https://www.haodf.com/neirong/wenzhang/9388797934.html
2022-05-22,肺癌,刘懿博士说肺癌（三九〇五）肺癌术后复查在家附近县医院做可以...,刘懿,https://www.haodf.com/neirong/wenzhang/9388797381.html
2022-05-22,肺癌,怎么才能做到早期诊断？什么是早期肺癌？早期肺癌能治愈吗？,王晟广,https://www.haodf.com/neirong/wenzhang/9388797284.html
2022-05-22,肺癌,刘懿博士说肺癌（三九〇四）胸水的颜色可以判断肺癌的早期晚期...,刘懿,https://www.haodf.com/neirong/wenzhang/9388797090.html
2022-05-21,高血压,安军明教授带你解密武侠中神秘的经脉和穴位（二十七）,安军明,https://www.haodf.com/neirong/wenzhang/9388796658.html
2022-05-21,肺癌,正确认识磨玻璃结节型肺癌,周晓,https://www.haodf.com/neirong/wenzhang/9388796404.html
2022-05-21,肺癌,超过70岁的肺癌就别治了，顺其自然最好？（转自中山六院郑大夫...,郭旭峰,https://www.haodf.com/neirong/wenzhang/9388796253.html
2022-05-21,肺癌,刘懿博士说肺癌（三八九九）侄女45岁，诊为肺癌晚期不让做手术...,刘懿,https://www.haodf.com/neirong/wenzhang/9388796245.html
2022-05-21,肺癌,刘懿博士说肺癌（三八九八）61岁女士体检发现肺结节，直接切除...,刘懿,https://www.haodf.com/neirong/wenzhang/9388796161.html
2022-05-21,肺癌,刘懿博士说肺癌（三八九七）怕辐射太多，肺结节复查做核磁可以...,刘懿,https://www.haodf.com/neirong/wenzhang/9388796152.html
2022-05-21,脑梗塞,脑梗塞有哪些先兆症状？,贾钰华,https://www.haodf.com/neirong/wenzhang/9388796139.html
