人物,出现次数
肺癌,41433
治疗,40988
患者,35096
肿瘤,21972
手术,17234
可以,14390
细胞,12968
化疗,12081
转移,11455
结节,10606
发表,10185
本文,10184
诊断,9938
药物,8907
使用,8812
不能,8430
进行,8017
靶向,7722
如果,7700
研究,7426
电子计算机断层扫描,7409
可能,7195
没有,7123
发现,7097
需要,7008
检查,6818
出现,6809
对于,6736
医生,6423
一个,6350
切除,6349
健康,6234
病人,6178
我们,6095
术后,6062
早期,5883
临床,5813
癌症,5793
肺部,5577
医院,5381
基因,5364
突变,5256
转载,5246
依据,5236
症状,5219
科普,5136
晚期,5123
检测,5044
放疗,4959
谨慎,4945
授权,4893
发生,4882
腺癌,4879
仅供,4845
参阅,4835
已读,4831
这个,4658
目前,4649
情况,4608
未经,4604
请勿,4520
疾病,4511
就是,4407
淋巴结,4396
版权所有,4190
表皮生长因子受体一,4183
病理,4108
免疫治疗,4066
通过,4031
刘懿,3977
时间,3878
主要,3867
组织,3763
方案,3747
复发,3724
或者,3716
效果,3666
问题,3646
玻璃,3615
包括,3606
比较,3603
选择,3572
辅助,3568
病灶,3526
免疫,3485
联合,3481
其他,3385
建议,3363
疗效,3340
一些,3329
因此,3313
很多,3289
已经,3281
丙酮酸脱氢酶,3274
非小细胞肺癌,3272
方法,3191
功能,3160
这些,3156
不同,3124
分期,3123
因为,3106
所以,3085
接受,3033
替尼,3017
吸烟,3013
一般,2988
风险,2969
结果,2963
一定,2951
进展,2939
影响,2898
复查,2895
大家,2865
导致,2842
病变,2838
人群,2809
自己,2792
一种,2781
推荐,2755
引起,2750
以及,2741
重要,2725
胸部,2724
考虑,2716
根据,2691
不是,2690
但是,2676
单抗,2670
血管,2649
还是,2609
因素,2567
存在,2547
相关,2543
明显,2535
正常,2527
筛查,2524
家属,2517
咳嗽,2473
同时,2455
什么,2449
以上,2439
局部,2436
生存,2411
癌细胞,2374
胸外科,2370
常见,2359
食物,2338
有效,2333
是否,2323
增加,2300
作用,2294
随访,2287
恶性肿瘤,2256
身体,2254
支气管,2218
提高,2209
达到,2200
非常,2192
这种,2192
生存率,2181
表现,2172
耐药,2162
部分,2156
恶性,2141
现在,2105
生活,2091
显示,2028
这样,2026
部位,2016
由于,2013
疼痛,2000
甚至,1993
生长,1990
预后,1977
比如,1977
原因,1960
阳性,1958
其中,1939
降低,1931
类型,1929
那么,1923
应用,1907
ALK,1905
应该,1890
能够,1886
抑制剂,1879
标志物,1877
作为,1876
活检,1875
一线,1866
方式,1862
具有,1858
评估,1848
程度,1842
非小,1837
生存期,1822
第一腰椎,1810
认为,1797
病情,1795
发展,1790
胸膜,1782
基因突变,1775
肺叶,1773
饮食,1772
长期,1766
过程,1743
严重,1738
浸润,1738
技术,1737
升高,1731
体检,1709
用于,1694
有些,1692
穿刺,1686
一次,1685
营养,1681
中国,1678
鳞癌,1676
完全,1673
针对,1666
手段,1638
时候,1630
开始,1628
观察,1622
明确,1616
减少,1611
还有,1607
超过,1604
不会,1588
产生,1584
之后,1574
之前,1565
报告,1563
纵隔,1557
全身,1552
延长,1547
所有,1540
无法,1536
控制,1532
特别,1524
反应,1516
总医院,1508
天津医科大学,1498
状态,1496
容易,1492
质量,1491
尤其,1488
注意,1478
虽然,1468
剂量,1466
标准,1463
表达,1445
避免,1435
来说,1434
指南,1429
缓解,1397
随着,1396
附属,1394
肿瘤外科,1387
判断,1381
发病率,1381
不要,1378
治愈,1375
如何,1375
胸腔,1372
采用,1366
一样,1364
周围,1359
常规,1353
数据,1339
分析,1337
高危,1337
不良反应,1330
而且,1329
进一步,1324
确诊,1321
直接,1318
经过,1317
觉得,1316
恢复,1312
通常,1305
预防,1298
方面,1296
知道,1293
处理,1282
侵犯,1277
病例,1276
女性,1275
第一,1274
消融,1274
最大,1261
综合,1253
属于,1252
中位,1251
显著,1247
获益,1237
以下,1237
任何,1235
骨转移,1235
看到,1234
胡洋,1232
一下,1229
文章,1225
PET,1225
获得,1223
胸腔镜,1220
死亡,1219
只有,1217
范围,1208
实性,1207
提示,1205
造成,1205
其实,1203
联系,1194
放化疗,1193
感染,1189
人体,1184
大小,1174
分子,1165
改善,1162
肺炎,1154
定期,1146
副作用,1146
左右,1144
成分,1143
微创,1136
及时,1136
酪氨酸激酶抑制剂,1135
下降,1135
切除术,1133
了解,1127
朋友,1126
并且,1123
呼吸,1123
证据,1122
往往,1121
用药,1118
分别,1117
标本,1100
首先,1099
中心,1096
我国,1089
年龄,1086
咨询,1083
改变,1081
气管,1081
变化,1076
期间,1074
美国,1073
神经,1068
结合,1067
带来,1065
分为,1055
抑制,1053
从而,1046
为主,1046
两个,1046
相对,1046
工作,1044
成为,1039
影像学,1038
死亡率,1037
增强,1033
持续,1028
异常,1020
直径,1019
最好,1017
发生率,1015
良性,1015
敏感,1008
一项,1006
每年,1006
损伤,1005
无进展生存时间,1002
