人物,出现次数
肺癌,4790
治疗,4043
刘懿,4030
患者,3754
可以,3063
手术,2870
结节,2798
本文,2608
发表,2525
肺部,2322
没有,2118
如果,2070
一个,1972
这个,1911
医生,1773
不能,1763
诊断,1634
大家,1617
家属,1524
授权,1496
总医院,1432
天津医科大学,1430
转载,1370
未经,1368
请勿,1367
发现,1346
肿瘤外科,1344
使用,1330
问题,1330
健康,1318
比较,1318
科普,1270
依据,1260
谨慎,1245
仅供,1242
已读,1240
版权所有,1240
参阅,1240
电子计算机断层扫描,1225
就是,1190
需要,1189
自己,1175
我们,1136
医院,1042
转移,1028
现在,1004
化疗,1000
觉得,963
或者,940
肿瘤,927
之前,893
可能,892
对于,880
复查,842
还是,825
病理,822
这样,817
朋友,816
很多,787
进行,758
因为,736
有些,729
不是,718
靶向,713
一位,707
看到,667
效果,667
检查,646
考虑,642
之后,616
这位,613
片子,610
情况,589
咨询,581
胸部,574
一下,570
通过,563
报告,548
身体,545
已经,543
建议,532
今天,532
什么,530
切除,525
玻璃,511
知道,507
