('2022-05-01', '甲亢', '甲亢病友如何选择甲亢治疗方法？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9388755718.html')
('2022-05-01', '甲亢', '治甲亢，别忽视这十个细节问题', '费健', 'https://www.haodf.com/neirong/wenzhang/9388754623.html')
('2022-04-03', '甲亢', '甲亢患者需低碘饮食', '杨春梅', 'https://www.haodf.com/neirong/wenzhang/9388700351.html')
('2022-03-22', '甲亢', '甲亢不治疗会怎样？别忽视，后果还是比较严重的。', '代平', 'https://www.haodf.com/neirong/wenzhang/9388668622.html')
('2022-03-03', '甲亢', '甲亢为什么反反复复？该怎么预防？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9388624506.html')
('2022-03-03', '甲亢', '哪些甲亢患者不能接种新冠病毒肺炎疫苗？', '韩改玲', 'https://www.haodf.com/neirong/wenzhang/9388622726.html')
('2022-02-25', '甲亢', '甲亢和桥本甲状腺炎易混淆，如何才能正确区分？', '王秀英', 'https://www.haodf.com/neirong/wenzhang/9388605057.html')
('2022-02-07', '甲亢', '甲亢病友日常生活中的注意事项', '谷君', 'https://www.haodf.com/neirong/wenzhang/9388569066.html')
('2022-02-05', '甲亢', '甲亢会遗传吗？', '孙香兰', 'https://m.haodf.com/neirong/shipin/9388566636.html')
('2022-01-28', '甲亢', '甲亢症状，男女有别', '许峥嵘', 'https://www.haodf.com/neirong/wenzhang/9388558824.html')
('2022-01-07', '甲亢', '甲亢可以吃碘盐吗？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9388530041.html')
('2021-12-21', '甲亢', '得了甲亢、甲减、甲状腺癌什么不能吃？什么能吃？一一告诉你', '苏乾', 'https://www.haodf.com/neirong/wenzhang/9384723994.html')
('2021-12-07', '甲亢', '甲亢能治愈吗？', '孙香兰', 'https://m.haodf.com/neirong/shipin/9384714829.html')
('2021-11-20', '甲亢', '甲亢患者口服药物治疗应知应会', '张秀彬', 'https://www.haodf.com/neirong/wenzhang/9384704003.html')
('2021-11-10', '甲亢', '甲状腺、甲亢、甲减小科普', '张秀彬', 'https://www.haodf.com/neirong/wenzhang/9384698118.html')
('2021-10-29', '甲亢', '速看，甲亢也会致命！', '孙香兰', 'https://m.haodf.com/neirong/shipin/9384690077.html')
('2021-10-04', '甲亢', '口服131I治疗甲亢和分化型甲状腺癌的简要流程', '高洪波', 'https://www.haodf.com/neirong/wenzhang/9384665863.html')
('2021-09-27', '甲亢', '甲亢131碘治疗靠谱吗？', '洪靖', 'https://m.haodf.com/neirong/shipin/9384662632.html')
('2021-09-25', '甲亢', '甲亢好了别大意，做好这几点，谨防复发！', '孙鹏', 'https://m.haodf.com/neirong/shipin/9384661271.html')
('2021-09-25', '甲亢', '甲亢有五点要避免', '洪靖', 'https://m.haodf.com/neirong/shipin/9384661111.html')
('2021-09-25', '甲亢', '甲亢治疗怎么选？', '洪靖', 'https://m.haodf.com/neirong/shipin/9384661103.html')
('2021-09-25', '甲亢', '甲亢的放射性碘131治疗效果如何？有哪些并发症？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9384660989.html')
('2021-09-20', '甲亢', '甲亢患者节假日指南', '孙鹏', 'https://m.haodf.com/neirong/shipin/9381637054.html')
('2021-09-16', '甲亢', '甲亢是什么？＃甲亢', '孙鹏', 'https://m.haodf.com/neirong/shipin/9369568177.html')
('2021-09-11', '甲亢', '哪些人容易得甲亢？您有这样的易患体质吗？', '孙鹏', 'https://m.haodf.com/neirong/shipin/9361055258.html')
('2021-09-08', '甲亢', '甲亢会遗传吗？', '孙鹏', 'https://m.haodf.com/neirong/shipin/9357065295.html')
('2021-09-06', '甲亢', '甲亢是否需要服用保肝药和升白细胞药？', '任卫东', 'https://www.haodf.com/neirong/wenzhang/9354558483.html')
